Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
-0.988,0.026,4.721,332.832,298.376,4.913
-0.995,0.024,4.744,333.767,293.089,5.22
-1.002,0.023,4.761,335.461,289.3,4.981
-1.005,0.022,4.768,336.417,287.823,4.57
-1.018,0.021,4.785,339.321,283.267,3.796
-1.024,0.02,4.79,339.81,281.734,3.451
-1.031,0.019,4.794,340.278,279.952,3.249
-1.038,0.019,4.797,340.98,278.528,2.719
-1.051,0.017,4.801,341.772,276.984,2.172
-1.07,0.015,4.804,342.477,275.126,1.449
-1.094,0.011,4.804,342.485,274.223,0.927
-1.121,0.007,4.8,342.857,273.799,0.461
-1.143,0.004,4.796,343.327,273.551,359.765
-1.158,0.004,4.792,343.261,273.464,359.425
-1.184,0.003,4.787,342.686,273.987,358.712
-1.209,0.003,4.78,342.761,274.451,358.264
-1.249,0.011,4.773,345.062,273.852,357.393
-1.266,0.015,4.77,345.583,273.031,357.034
-1.312,0.02,4.766,343.858,272.371,356.34
-1.329,0.019,4.766,344.883,271.924,356.553
-1.354,0.02,4.766,346.486,271.009,356.66
-1.381,0.019,4.769,347.124,270.523,356.977
-1.409,0.018,4.773,347.102,269.536,356.804
-1.434,0.014,4.779,347.781,267.962,356.954
-1.469,0.01,4.79,348.314,266.457,357.154
-1.496,0.008,4.801,348.066,264.348,357.575
-1.512,0.006,4.809,347.614,263.016,357.866
-1.538,0.004,4.822,347.392,259.654,358.792
-1.555,0.005,4.831,348.569,257.491,358.988
-1.579,0.009,4.845,349.135,253.736,358.989
-1.626,0.014,4.868,348.712,247.879,358.889
-1.64,0.013,4.874,348.931,245.426,359.157
-1.662,0.013,4.884,349.653,241.573,359.522
-1.682,0.013,4.891,350.445,238.143,359.318
-1.713,0.013,4.898,352.096,232.326,358.65
-1.732,0.011,4.901,351.884,228.153,358.891
-1.739,0.01,4.901,351.913,226.666,359.026
-1.762,0.006,4.903,352.987,221.625,358.409
-1.798,-0.003,4.897,353.472,215.837,357.86
-1.809,-0.005,4.894,353.138,214.193,357.851
-1.82,-0.007,4.889,353.223,212.799,357.779
-1.854,-0.005,4.873,352.654,209.29,358.205
-1.865,-0.005,4.867,352.584,207.888,358.664
-1.87,-0.005,4.866,353.263,206.893,359.095
-1.9,0.004,4.853,353.31,203.378,359.898
-1.919,0.008,4.846,352.386,200.728,0.17
-1.948,0.011,4.837,351.775,196.716,0.48
-1.954,0.013,4.835,352.168,195.606,0.157
-1.994,0.017,4.825,352.846,189.081,359.164
-2.008,0.017,4.823,352.426,186.945,359.034
-2.036,0.015,4.818,351.969,183.263,359.567
-2.068,0.013,4.814,351.442,179.42,0.174
-2.092,0.012,4.813,352.071,176.499,0.316
-2.126,0.012,4.812,352.984,172.053,0.348
-2.134,0.013,4.812,352.818,171.016,0.48
-2.159,0.014,4.811,352.781,167.408,0.599
-2.192,0.016,4.81,351.983,162.491,1.792
-2.225,0.016,4.812,352.336,157.21,2.504
-2.239,0.018,4.813,352.586,154.892,2.287
-2.264,0.019,4.813,351.883,150.89,0.94
-2.284,0.022,4.813,351.459,147.32,0.337
-2.297,0.022,4.814,351.638,144.341,0.205
-2.3,0.022,4.814,351.802,143.407,0.184
-2.31,0.023,4.813,352.108,139.693,359.528
-2.316,0.024,4.812,352.717,138.54,359.149
-2.318,0.023,4.812,353.201,138.135,359.273
-2.317,0.023,4.812,353.577,137.772,359.429
