Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
2.656,-0.011,2.014,344.303,314.667,357.104
2.65,-0.013,2.129,345.849,313.692,357.521
2.65,-0.013,2.129,345.849,313.692,357.521
2.646,-0.002,2.219,343.799,313.709,357.202
2.646,-0.002,2.219,343.799,313.709,357.202
2.646,-0.002,2.219,343.799,313.709,357.202
2.649,0.001,2.27,343.991,314.21,356.809
2.649,0.001,2.27,343.991,314.21,356.809
2.649,0.001,2.27,343.991,314.21,356.809
2.649,0.001,2.27,343.991,314.21,356.809
2.699,-0.019,2.496,344.6,317.64,356.955
2.699,-0.019,2.496,344.6,317.64,356.955
2.724,-0.019,2.562,346.126,317.841,358.299
2.724,-0.019,2.562,346.126,317.841,358.299
2.724,-0.019,2.562,346.126,317.841,358.299
2.724,-0.019,2.562,346.126,317.841,358.299
2.724,-0.019,2.562,346.126,317.841,358.299
2.724,-0.019,2.562,346.126,317.841,358.299
2.751,-0.009,2.649,345.289,318.6,359.312
2.751,-0.009,2.649,345.289,318.6,359.312
2.751,-0.009,2.649,345.289,318.6,359.312
2.751,-0.009,2.649,345.289,318.6,359.312
2.751,-0.009,2.649,345.289,318.6,359.312
2.785,-0.024,2.944,346.549,318.967,357.761
2.785,-0.024,2.944,346.549,318.967,357.761
2.785,-0.024,2.944,346.549,318.967,357.761
2.778,-0.008,3.07,345.437,321.899,358.396
2.778,-0.008,3.07,345.437,321.899,358.396
2.778,-0.008,3.07,345.437,321.899,358.396
2.778,-0.008,3.07,345.437,321.899,358.396
2.788,-0.002,3.236,345.234,325.985,357.442
2.788,-0.002,3.236,345.234,325.985,357.442
2.788,-0.002,3.236,345.234,325.985,357.442
2.817,-0.02,3.386,344.868,326.314,358.055
2.817,-0.02,3.386,344.868,326.314,358.055
2.817,-0.02,3.386,344.868,326.314,358.055
2.817,-0.02,3.386,344.868,326.314,358.055
2.842,-0.009,3.529,344.362,326.381,358.737
2.842,-0.009,3.529,344.362,326.381,358.737
2.842,-0.009,3.529,344.362,326.381,358.737
2.832,-0.007,3.676,345.007,327.406,359.064
2.832,-0.007,3.676,345.007,327.406,359.064
2.832,-0.007,3.676,345.007,327.406,359.064
2.832,-0.007,3.676,345.007,327.406,359.064
2.784,-0.018,3.79,343.24,325.425,0.289
2.784,-0.018,3.79,343.24,325.425,0.289
2.784,-0.018,3.79,343.24,325.425,0.289
2.706,0.001,3.922,342.251,322.762,359.042
2.706,0.001,3.922,342.251,322.762,359.042
2.706,0.001,3.922,342.251,322.762,359.042
2.706,0.001,3.922,342.251,322.762,359.042
2.654,0.002,4.013,342.407,319.826,359.335
2.654,0.002,4.013,342.407,319.826,359.335
2.6,-0.011,4.115,342.344,314.469,359.764
2.6,-0.011,4.115,342.344,314.469,359.764
2.6,-0.011,4.115,342.344,314.469,359.764
2.6,-0.011,4.115,342.344,314.469,359.764
2.6,-0.011,4.115,342.344,314.469,359.764
2.557,-0.02,4.204,341.527,308.054,0.947
2.557,-0.02,4.204,341.527,308.054,0.947
2.557,-0.02,4.204,341.527,308.054,0.947
2.476,-0.004,4.327,342.442,297.4,1.657
2.476,-0.004,4.327,342.442,297.4,1.657
2.359,-0.012,4.402,344.063,291.189,2.021
2.359,-0.012,4.402,344.063,291.189,2.021
2.313,-0.015,4.415,342.695,290.028,2.348
2.313,-0.015,4.415,342.695,290.028,2.348
2.313,-0.015,4.415,342.695,290.028,2.348
2.313,-0.015,4.415,342.695,290.028,2.348
2.244,-0.016,4.425,342.893,289.713,1.747
2.244,-0.016,4.425,342.893,289.713,1.747
2.244,-0.016,4.425,342.893,289.713,1.747
2.244,-0.016,4.425,342.893,289.713,1.747
2.076,0.001,4.453,342.635,291.113,1.036
2.076,0.001,4.453,342.635,291.113,1.036
1.983,-0.005,4.483,341.968,291.88,0.86
1.983,-0.005,4.483,341.968,291.88,0.86
1.983,-0.005,4.483,341.968,291.88,0.86
1.907,-0.016,4.516,341.394,292.296,1.084
1.907,-0.016,4.516,341.394,292.296,1.084
1.828,-0.017,4.553,341.399,291.144,1.064
1.828,-0.017,4.553,341.399,291.144,1.064
1.828,-0.017,4.553,341.399,291.144,1.064
1.728,-0.008,4.59,341.006,289.924,1.415
1.728,-0.008,4.59,341.006,289.924,1.415
1.64,-0.007,4.605,343.756,290.766,1.935
1.64,-0.007,4.605,343.756,290.766,1.935
1.558,-0.016,4.605,344.547,292.629,2.306
1.558,-0.016,4.605,344.547,292.629,2.306
1.558,-0.016,4.605,344.547,292.629,2.306
1.558,-0.016,4.605,344.547,292.629,2.306
1.446,-0.026,4.586,344.423,294.9,1.583
1.446,-0.026,4.586,344.423,294.9,1.583
1.335,-0.015,4.559,345.814,296.439,0.508
1.335,-0.015,4.559,345.814,296.439,0.508
1.253,-0.007,4.546,346.018,298.203,359.555
1.253,-0.007,4.546,346.018,298.203,359.555
1.253,-0.007,4.546,346.018,298.203,359.555
1.253,-0.007,4.546,346.018,298.203,359.555
1.253,-0.007,4.546,346.018,298.203,359.555
1.062,-0.014,4.547,346.196,306.635,0.3
1.062,-0.014,4.547,346.196,306.635,0.3
1.062,-0.014,4.547,346.196,306.635,0.3
1.062,-0.014,4.547,346.196,306.635,0.3
0.919,-0.026,4.586,345.452,313.861,0.673
0.859,-0.014,4.606,344.79,316.657,0.961
0.859,-0.014,4.606,344.79,316.657,0.961
0.859,-0.014,4.606,344.79,316.657,0.961
0.783,-0.008,4.625,342.623,321.953,1.654
0.783,-0.008,4.625,342.623,321.953,1.654
0.691,-0.004,4.636,338.383,327.516,3.085
0.691,-0.004,4.636,338.383,327.516,3.085
0.621,-0.01,4.632,335.585,328.721,2.513
0.621,-0.01,4.632,335.585,328.721,2.513
0.621,-0.01,4.632,335.585,328.721,2.513
0.621,-0.01,4.632,335.585,328.721,2.513
0.527,-0.009,4.616,336.232,324.748,0.97
0.527,-0.009,4.616,336.232,324.748,0.97
0.527,-0.009,4.616,336.232,324.748,0.97
0.527,-0.009,4.616,336.232,324.748,0.97
0.403,0.01,4.599,331.955,310.256,0.082
0.403,0.01,4.599,331.955,310.256,0.082
0.294,0.012,4.606,330.29,295.627,0.077
0.294,0.012,4.606,330.29,295.627,0.077
0.205,0.003,4.625,331.826,282.466,0.752
0.205,0.003,4.625,331.826,282.466,0.752
0.205,0.003,4.625,331.826,282.466,0.752
0.113,-0.003,4.661,332.328,270.559,1.442
0.113,-0.003,4.661,332.328,270.559,1.442
0.113,-0.003,4.661,332.328,270.559,1.442
-0.031,0.01,4.712,331.479,254.943,1.541
-0.031,0.01,4.712,331.479,254.943,1.541
-0.031,0.01,4.712,331.479,254.943,1.541
-0.031,0.01,4.712,331.479,254.943,1.541
-0.031,0.01,4.712,331.479,254.943,1.541
-0.031,0.01,4.712,331.479,254.943,1.541
